User_ID,Age,Gender,Height_cm,Previous_Weight_kg,Current_Weight_kg,Target_Weight_kg,Goal_Type,Activity_Level,BMI,BMR_kcal,TDEE_kcal,Calories_Needed_kcal,Calories_to_Burn_kcal,Daily_Calories_Intake,Calories_Burned,Steps,Workout_Minutes,Sleep_Hours,Water_Litres,Protein_g,Stress_Level,Days_to_Goal
USR0013,53,Female,171.6,82.0,83.5,61.8,Weight Loss,Lightly Active,28.4,1482,2038,1495,671,1283,427,5782,22,7.3,1.6,109,Low,308
USR0014,32,Male,168.0,102.0,105.0,85.5,Weight Loss,Lightly Active,37.2,1945,2674,2180,670,2089,585,10998,26,5.0,2.4,172,High,304
USR0015,60,Male,167.3,88.9,88.3,67.5,Weight Loss,Moderately Active,31.5,1634,2533,1970,770,2035,690,8485,44,7.4,1.5,119,Low,284
USR0016,40,Male,182.8,88.5,88.0,88.0,Maintenance,Moderately Active,26.3,1828,2833,2833,353,2604,1178,16120,54,4.9,3.2,160,Low,0
USR0017,23,Male,178.8,78.6,76.6,63.9,Weight Loss,Moderately Active,24.0,1774,2750,2273,679,2580,672,7406,49,8.2,3.0,151,Medium,205
USR0018,63,Female,158.3,53.0,50.7,60.4,Weight Gain,Very Active,20.2,1020,1760,2198,-189,2144,829,12160,60,8.1,2.1,75,High,171
USR0019,61,Male,183.8,67.0,67.5,51.4,Weight Loss,Very Active,20.0,1524,2629,2265,531,2283,558,5468,45,7.6,1.7,104,High,341
USR0020,60,Male,190.0,94.8,94.0,69.8,Weight Loss,Lightly Active,26.0,1832,2519,2073,590,2124,480,9144,22,6.2,1.9,144,Low,418
USR0021,62,Female,164.7,74.2,71.7,63.0,Weight Loss,Sedentary,26.4,1275,1530,942,766,1111,594,13772,12,7.2,2.0,102,Medium,114
USR0022,38,Male,177.7,102.9,105.2,93.2,Weight Loss,Lightly Active,33.3,1978,2720,2278,630,2318,627,12152,15,6.4,2.4,193,Low,209
USR0023,40,Male,171.2,90.2,88.4,71.9,Weight Loss,Sedentary,30.2,1759,2111,1735,552,1575,587,14531,5,5.8,2.8,150,High,338
USR0024,60,Male,180.0,81.0,82.5,60.1,Weight Loss,Moderately Active,25.5,1655,2565,2160,634,2223,765,10412,40,6.6,1.6,103,Low,426
USR0025,33,Male,165.7,78.7,77.4,77.4,Maintenance,Very Active,28.2,1650,2846,2846,291,3015,971,7275,68,7.8,2.8,145,Low,0
USR0026,64,Female,172.7,57.2,59.1,47.4,Weight Loss,Moderately Active,19.8,1189,1843,1257,874,1123,961,15694,46,7.1,2.6,80,High,154
USR0027,32,Male,182.9,88.7,86.4,80.1,Weight Loss,Lightly Active,25.8,1852,2546,1961,784,2081,663,7867,34,8.7,1.9,171,High,83
USR0028,42,Female,162.7,49.3,50.8,37.4,Weight Loss,Sedentary,19.2,1154,1385,875,648,913,459,11535,7,7.9,1.5,76,Medium,202
USR0029,53,Female,171.0,78.2,75.8,62.9,Weight Loss,Lightly Active,25.9,1401,1926,1473,592,1487,462,8516,17,7.8,2.3,128,Low,219
USR0030,28,Male,172.3,94.5,94.2,69.5,Weight Loss,Moderately Active,31.7,1884,2920,2565,568,2469,709,6626,45,5.1,1.6,119,Medium,536
USR0031,32,Female,165.6,66.6,68.0,54.4,Weight Loss,Lightly Active,24.8,1394,1917,1580,444,1547,355,4262,35,6.7,2.8,100,High,311
USR0032,21,Male,168.9,92.2,90.2,79.1,Weight Loss,Sedentary,31.6,1858,2230,1912,403,1978,282,4414,16,5.7,1.5,166,Medium,269
USR0033,38,Male,171.2,89.3,88.0,75.7,Weight Loss,Lightly Active,30.0,1765,2427,2122,492,2058,624,12353,16,6.8,2.5,139,Low,311
USR0034,30,Female,160.7,85.2,87.4,100.5,Weight Gain,Very Active,33.8,1567,2703,3169,-74,3022,1307,17559,54,6.2,2.2,168,Low,216
USR0035,39,Female,149.7,83.2,85.5,64.1,Weight Loss,Moderately Active,38.2,1435,2224,1681,832,1528,963,14312,38,6.5,1.9,142,High,303
USR0036,36,Female,154.3,66.0,63.3,56.7,Weight Loss,Very Active,26.6,1256,2167,1697,788,1739,1060,13173,62,8.3,2.1,123,Medium,108
USR0037,51,Male,176.4,84.9,82.9,89.1,Weight Gain,Moderately Active,26.6,1682,2607,2982,-162,3055,710,7240,53,7.6,2.8,165,Medium,127
USR0038,31,Male,184.6,92.3,90.0,90.0,Maintenance,Lightly Active,26.4,1904,2618,2618,260,2608,865,16053,15,8.2,1.5,141,Medium,0
USR0039,21,Female,167.1,70.8,68.9,73.4,Weight Gain,Sedentary,24.7,1467,1760,2252,-285,2524,689,16946,5,5.1,2.0,114,Medium,70
USR0040,63,Male,163.9,64.6,67.4,47.5,Weight Loss,Lightly Active,25.1,1388,1908,1469,626,1214,622,11049,33,7.1,1.7,126,High,349
USR0041,44,Male,169.4,86.1,86.4,91.5,Weight Gain,Moderately Active,30.1,1708,2647,3060,-208,3117,683,7122,45,8.2,2.2,119,Low,95
USR0042,46,Male,179.7,110.1,109.9,119.8,Weight Gain,Very Active,34.0,1997,3445,3895,-157,3619,977,6993,48,8.8,1.8,208,Medium,169
USR0043,64,Male,180.4,90.6,93.5,86.5,Weight Loss,Lightly Active,28.7,1748,2404,2057,561,2041,713,10964,36,5.1,1.1,156,Low,155
USR0044,45,Female,153.4,59.5,59.8,59.8,Maintenance,Sedentary,25.4,1171,1405,1405,51,1443,171,4492,11,6.6,1.6,106,Low,0
USR0045,52,Male,185.4,96.6,97.6,82.6,Weight Loss,Moderately Active,28.4,1880,2914,2331,909,2305,1086,17613,36,8.2,3.2,123,Medium,198
USR0046,25,Female,155.0,73.8,72.8,72.8,Maintenance,Sedentary,30.3,1411,1693,1693,96,1400,320,10211,0,6.8,2.3,132,High,0
USR0047,33,Male,191.4,86.3,85.6,93.3,Weight Gain,Moderately Active,23.4,1892,2933,3237,-22,3223,941,15515,45,5.9,2.3,124,Medium,195
USR0048,59,Female,167.0,70.6,71.2,77.3,Weight Gain,Lightly Active,25.5,1300,1788,2193,-212,2193,643,10997,21,5.1,2.0,131,Low,116
USR0049,53,Female,157.8,42.3,39.7,47.5,Weight Gain,Lightly Active,15.9,957,1316,1627,-164,1762,489,11572,30,5.9,2.2,64,Low,193
USR0050,47,Male,189.4,82.1,80.6,57.5,Weight Loss,Lightly Active,22.5,1760,2420,2062,411,1848,178,4175,18,5.0,1.9,114,High,497
USR0051,35,Female,154.7,65.3,63.5,56.8,Weight Loss,Moderately Active,26.5,1266,1962,1603,462,1819,343,4405,36,7.1,2.5,125,Low,144
USR0052,19,Female,170.6,68.2,65.3,65.3,Maintenance,Lightly Active,22.4,1463,2012,2012,133,1634,444,5363,29,8.1,2.3,118,High,0
USR0053,30,Female,158.2,82.0,82.2,94.6,Weight Gain,Lightly Active,32.8,1500,2062,2501,-296,2307,475,9341,31,5.5,1.5,163,Low,217
USR0054,21,Female,172.7,67.9,68.3,68.3,Maintenance,Very Active,22.9,1496,2581,2581,326,2607,1086,9900,81,7.3,2.4,102,High,0
USR0055,43,Female,162.4,55.3,54.6,54.6,Maintenance,Sedentary,20.7,1185,1422,1422,152,1469,505,13618,12,8.0,0.7,94,High,0
USR0056,42,Female,152.2,74.9,73.5,73.5,Maintenance,Sedentary,31.7,1315,1578,1578,147,1805,491,11072,17,7.0,2.4,124,Low,0
USR0057,47,Male,179.4,79.5,80.4,88.7,Weight Gain,Moderately Active,25.0,1695,2627,2994,-98,3023,896,13300,48,5.1,1.4,141,Medium,174
USR0058,28,Male,181.5,66.4,64.2,55.2,Weight Loss,Sedentary,19.5,1641,1969,1437,677,1422,482,11525,14,7.5,2.1,79,Low,130
USR0059,24,Male,169.7,98.2,98.3,74.5,Weight Loss,Lightly Active,34.1,1929,2652,2088,801,2155,789,11876,30,6.9,1.5,141,Low,325
USR0060,48,Male,162.7,84.8,86.4,98.9,Weight Gain,Very Active,32.6,1646,2839,3230,-75,2879,1054,13156,51,6.8,2.2,167,Medium,246
USR0061,61,Male,180.7,93.4,91.4,72.5,Weight Loss,Moderately Active,28.0,1743,2702,2373,705,2222,1253,17963,59,6.3,2.5,141,Medium,442
USR0062,27,Male,182.4,80.5,82.0,72.2,Weight Loss,Moderately Active,24.6,1830,2836,2495,475,2319,448,3605,35,7.1,3.1,161,Low,221
USR0063,56,Female,158.1,75.9,77.5,70.1,Weight Loss,Moderately Active,31.0,1322,2049,1511,841,1654,1009,15395,57,7.6,1.3,106,Medium,106
USR0064,30,Male,176.7,52.4,49.8,49.8,Maintenance,Sedentary,15.9,1457,1748,1748,65,1943,218,4557,5,9.9,2.8,99,Low,0
USR0065,48,Male,167.3,87.3,84.4,84.4,Maintenance,Lightly Active,30.2,1655,2276,2276,175,2556,582,10635,28,7.1,2.3,148,Low,0
USR0066,24,Female,160.8,67.1,69.9,76.2,Weight Gain,Lightly Active,27.0,1423,1957,2301,-86,2386,861,17779,25,8.8,1.9,127,Medium,141
USR0067,59,Male,178.8,83.5,81.7,71.1,Weight Loss,Very Active,25.6,1644,2836,2382,687,2516,778,4042,57,7.4,2.7,124,Medium,180
USR0068,59,Female,160.6,71.4,73.3,78.1,Weight Gain,Lightly Active,28.4,1281,1761,2100,-124,2114,716,15516,36,6.9,2.1,141,Medium,109
USR0069,53,Male,173.6,75.9,76.3,80.6,Weight Gain,Lightly Active,25.3,1588,2184,2675,-249,2600,806,15799,19,7.2,2.6,125,Medium,67
USR0070,37,Female,159.8,64.6,63.2,52.0,Weight Loss,Very Active,24.7,1285,2217,1864,594,1702,805,2778,70,5.5,1.6,110,High,244
USR0071,21,Female,163.4,73.7,71.5,49.5,Weight Loss,Moderately Active,26.8,1470,2278,1930,534,1755,619,5159,59,7.4,1.8,91,Medium,487
USR0072,24,Male,176.5,71.9,71.9,54.8,Weight Loss,Very Active,23.1,1707,2945,2521,641,2315,722,8395,45,4.6,2.8,123,Low,311
USR0073,18,Male,181.9,71.0,70.4,85.0,Weight Gain,Moderately Active,21.3,1756,2722,3197,-327,3307,493,3746,38,6.0,3.1,134,Medium,237
USR0074,61,Female,171.6,75.2,76.4,86.3,Weight Gain,Lightly Active,25.9,1370,1884,2374,-307,2313,609,7974,34,7.1,2.2,103,Medium,156
USR0075,62,Female,159.5,81.5,83.9,74.8,Weight Loss,Moderately Active,33.0,1365,2116,1696,642,1587,739,7150,55,8.4,0.5,150,Medium,167
USR0076,59,Female,158.1,79.3,81.1,81.1,Maintenance,Lightly Active,32.4,1343,1847,1847,199,1543,663,14132,18,8.7,2.1,99,Medium,0
USR0077,64,Female,152.6,77.7,76.3,58.4,Weight Loss,Sedentary,32.8,1236,1483,1030,490,893,124,2420,8,6.7,2.2,148,Low,304
USR0078,30,Male,173.6,71.5,73.8,63.4,Weight Loss,Moderately Active,24.5,1678,2601,2088,756,2045,811,12043,56,7.2,2.1,147,Low,156
USR0079,39,Male,169.0,85.8,87.8,75.1,Weight Loss,Moderately Active,30.7,1744,2703,2232,668,2002,658,4108,58,8.2,2.4,130,Medium,208
USR0080,38,Male,177.7,87.3,89.9,70.2,Weight Loss,Very Active,28.5,1825,3148,2607,906,3006,1216,6674,72,5.4,1.9,116,Low,280
USR0081,39,Female,150.0,43.1,42.9,19.1,Weight Loss,Very Active,19.1,1010,1742,1253,676,1052,623,7345,59,7.5,2.7,74,Medium,375
USR0082,45,Female,167.7,82.6,84.2,68.6,Weight Loss,Very Active,29.9,1504,2594,2058,784,2231,828,5996,57,6.0,1.5,103,Medium,224
USR0083,26,Male,168.3,89.7,90.2,85.0,Weight Loss,Sedentary,31.8,1829,2195,1686,618,1668,362,8082,3,6.8,2.9,143,Medium,79
USR0084,43,Male,178.3,77.4,76.3,64.5,Weight Loss,Moderately Active,24.0,1667,2584,2226,564,2141,688,11550,34,6.4,3.1,108,Medium,254
USR0085,26,Male,179.4,76.5,79.5,85.5,Weight Gain,Moderately Active,24.7,1791,2776,3246,-283,3209,623,5910,49,7.5,1.7,126,Low,98
USR0086,32,Male,172.1,69.8,67.0,55.2,Weight Loss,Very Active,22.6,1591,2744,2173,782,2175,703,4626,65,7.7,1.7,81,High,159
USR0087,27,Female,156.2,52.7,50.7,37.0,Weight Loss,Lightly Active,20.8,1187,1632,1048,758,1082,581,12879,31,8.1,2.4,63,Medium,181
USR0088,41,Female,153.8,70.2,72.6,72.6,Maintenance,Sedentary,30.7,1321,1585,1585,186,1438,620,14398,2,7.4,1.5,88,Medium,0
USR0089,59,Female,159.3,73.2,70.6,63.2,Weight Loss,Very Active,27.8,1246,2149,1632,758,1716,803,2490,74,7.2,1.9,120,Low,110
USR0090,25,Male,168.6,102.6,104.9,104.9,Maintenance,Lightly Active,36.9,1983,2727,2727,178,2685,593,11487,22,9.2,2.9,173,Low,0
USR0091,41,Male,192.9,81.5,82.8,82.8,Maintenance,Moderately Active,22.3,1834,2843,2843,201,2643,671,7932,42,5.2,2.6,115,Medium,0
USR0092,33,Female,170.9,82.2,79.4,68.1,Weight Loss,Lightly Active,27.2,1536,2112,1514,800,1450,675,12273,36,9.0,3.4,136,Low,146
USR0093,43,Female,176.1,74.6,74.2,74.2,Maintenance,Lightly Active,23.9,1467,2017,2017,244,2230,812,16547,34,6.7,2.3,142,Low,0
USR0094,44,Female,152.4,73.0,74.5,74.5,Maintenance,Moderately Active,32.1,1316,2040,2040,165,2073,549,5371,37,7.7,1.8,106,Medium,0
USR0095,54,Female,157.2,76.3,76.8,76.8,Maintenance,Lightly Active,31.1,1320,1815,1815,250,1816,833,15684,29,6.6,2.2,143,Medium,0
USR0096,21,Male,183.9,58.6,61.2,66.1,Weight Gain,Moderately Active,18.1,1661,2575,2961,-151,2901,782,12364,47,6.2,2.1,106,Medium,98
USR0097,41,Female,159.3,93.1,95.3,73.6,Weight Loss,Sedentary,37.6,1583,1900,1479,609,1431,628,13366,18,7.6,2.1,117,Medium,397
USR0098,36,Male,168.3,72.4,71.4,71.4,Maintenance,Lightly Active,25.2,1591,2188,2188,124,2221,414,6064,32,8.3,2.2,107,High,0
USR0099,53,Male,172.7,66.4,63.9,39.9,Weight Loss,Lightly Active,21.4,1458,2005,1517,644,1477,519,7837,38,7.6,1.6,103,Low,379
USR0100,56,Male,177.6,103.3,106.0,98.4,Weight Loss,Moderately Active,33.6,1895,2937,2634,679,2702,1253,17479,56,6.3,2.4,189,Medium,193
USR0101,27,Male,157.7,96.4,96.5,90.8,Weight Loss,Lightly Active,38.8,1821,2504,1975,766,2023,789,13945,26,10.0,1.4,138,Low,83
USR0102,42,Female,173.6,68.0,65.4,52.1,Weight Loss,Moderately Active,21.7,1368,2120,1598,826,1419,1015,17906,43,8.4,1.8,130,Medium,196
USR0103,35,Male,168.4,92.9,94.8,85.9,Weight Loss,Moderately Active,33.4,1830,2836,2287,780,2366,769,6989,53,8.1,2.1,166,Medium,125
USR0104,36,Female,172.4,80.2,82.4,92.2,Weight Gain,Moderately Active,27.7,1560,2418,2823,-113,2680,973,16666,40,6.6,0.8,123,Low,186
USR0105,53,Female,159.1,66.5,67.3,67.3,Maintenance,Moderately Active,26.6,1241,1924,1924,298,1775,993,14021,58,6.2,2.7,86,Medium,0
USR0106,27,Male,180.0,77.2,76.9,66.9,Weight Loss,Lightly Active,23.7,1764,2426,1892,676,1888,472,7971,28,6.7,1.0,103,High,144
USR0107,50,Male,184.2,58.1,59.1,59.1,Maintenance,Lightly Active,17.4,1497,2058,2058,175,2097,584,12141,30,8.3,2.6,94,Low,0
USR0108,22,Female,155.6,86.0,87.2,87.2,Maintenance,Moderately Active,36.0,1574,2440,2440,158,2532,527,5380,38,5.8,1.4,139,Medium,0
USR0109,64,Male,180.4,74.4,76.8,60.9,Weight Loss,Sedentary,23.6,1580,1896,1539,471,1216,381,7689,9,5.7,2.0,139,High,343
USR0110,52,Male,173.7,83.8,86.5,61.8,Weight Loss,Very Active,28.7,1696,2926,2351,875,2469,1000,10603,57,7.6,2.5,154,Medium,331
USR0111,61,Male,178.0,117.5,117.6,117.6,Maintenance,Moderately Active,37.1,1988,3081,3081,296,3143,988,11614,46,7.4,3.5,160,Medium,0
USR0112,51,Male,170.3,81.7,83.5,92.9,Weight Gain,Lightly Active,28.8,1649,2267,2762,-259,2653,788,13173,33,6.1,2.3,140,High,146
USR0113,50,Female,163.2,52.1,54.9,54.9,Maintenance,Moderately Active,20.6,1158,1795,1795,162,1760,541,9473,31,5.7,1.0,67,Low,0
USR0114,38,Female,163.0,67.0,64.9,72.8,Weight Gain,Very Active,24.4,1317,2272,2618,-100,2648,819,3676,76,8.7,2.8,99,Low,176
USR0115,34,Female,156.2,51.6,48.7,35.3,Weight Loss,Lightly Active,20.0,1132,1556,1187,538,664,563,9790,32,7.4,2.1,88,Medium,280
USR0116,39,Female,166.7,53.1,55.3,33.3,Weight Loss,Moderately Active,19.9,1239,1920,1453,659,1265,640,7282,55,5.4,2.2,84,Medium,363
USR0117,54,Female,164.4,58.7,56.9,69.9,Weight Gain,Sedentary,21.1,1166,1399,1783,-242,1957,472,11838,7,5.4,2.5,106,Low,261
USR0118,32,Male,172.5,80.3,77.6,60.6,Weight Loss,Lightly Active,26.1,1699,2336,1959,477,1869,332,4711,26,6.6,0.9,154,Low,347
USR0119,52,Female,159.3,69.8,67.8,79.6,Weight Gain,Very Active,26.7,1253,2161,2544,1,2531,1280,14151,74,7.9,2.2,114,Medium,237
USR0120,45,Female,160.9,81.9,81.2,81.2,Maintenance,Moderately Active,31.4,1432,2220,2220,328,2203,1092,15376,53,7.7,2.0,107,High,0
USR0121,24,Female,159.3,81.6,79.9,94.4,Weight Gain,Moderately Active,31.5,1514,2347,2704,-42,2811,1051,17977,42,8.4,2.9,120,Medium,313
USR0122,49,Female,152.5,79.3,78.1,78.1,Maintenance,Very Active,33.6,1328,2291,2291,392,2230,1308,11431,82,5.2,2.6,94,High,0
USR0123,28,Male,166.3,101.7,104.6,92.1,Weight Loss,Moderately Active,37.8,1950,3022,2617,581,2569,588,2602,45,7.3,1.2,176,High,238
USR0124,27,Male,181.3,78.6,79.8,87.4,Weight Gain,Moderately Active,24.3,1801,2792,3128,-178,3157,528,3937,38,8.7,3.0,148,Medium,174
USR0125,26,Male,176.4,110.7,112.0,116.6,Weight Gain,Moderately Active,36.0,2098,3252,3666,-152,3793,872,10121,37,8.6,2.5,191,Medium,86
USR0126,31,Male,175.7,91.0,88.6,88.6,Maintenance,Moderately Active,28.7,1834,2843,2843,277,3017,922,10217,54,7.4,1.3,162,Medium,0
USR0127,30,Female,165.3,77.1,78.5,92.8,Weight Gain,Moderately Active,28.7,1507,2336,2720,-191,2672,643,8812,44,9.8,2.2,144,Low,287
USR0128,42,Female,163.4,59.6,61.0,55.6,Weight Loss,Very Active,22.8,1260,2174,1618,901,1544,1150,14871,70,7.7,2.8,115,Medium,75
USR0129,19,Male,182.3,104.8,105.8,105.8,Maintenance,Moderately Active,31.8,2107,3266,3266,211,3244,704,3067,56,8.3,1.5,150,Medium,0
USR0130,52,Female,165.4,54.4,52.8,62.2,Weight Gain,Moderately Active,19.3,1141,1769,2227,-195,2427,877,15401,36,7.1,3.0,100,Medium,158
USR0131,24,Male,186.3,93.2,92.7,78.8,Weight Loss,Sedentary,26.7,1976,2371,1925,531,2042,283,7252,1,6.1,1.3,160,Medium,240
USR0132,38,Male,170.6,101.5,103.6,112.1,Weight Gain,Moderately Active,35.6,1917,2971,3467,-130,3395,1221,15472,52,5.9,1.7,148,Medium,132
USR0133,35,Male,161.4,65.7,66.7,66.7,Maintenance,Moderately Active,25.6,1506,2334,2334,182,2092,606,7863,48,7.2,1.6,133,Medium,0
USR0134,20,Male,172.4,57.8,59.2,67.0,Weight Gain,Moderately Active,19.9,1574,2440,2774,-254,2940,265,2379,33,6.7,3.0,116,Medium,180
USR0135,59,Female,160.8,64.1,64.6,58.4,Weight Loss,Lightly Active,25.0,1195,1643,1305,514,1488,585,11476,21,4.9,1.9,107,Low,141
USR0136,56,Male,172.3,57.5,57.2,57.2,Maintenance,Very Active,19.3,1374,2370,2370,276,2203,919,7502,71,5.8,1.5,107,Medium,0
USR0137,58,Female,159.2,41.5,43.1,43.1,Maintenance,Sedentary,17.0,975,1170,1170,181,1103,603,14656,13,6.6,2.5,61,High,0
USR0138,28,Female,160.9,70.8,68.2,55.6,Weight Loss,Lightly Active,26.3,1387,1907,1431,534,1562,192,5182,22,7.9,2.6,105,High,204
USR0139,56,Male,173.5,78.1,79.1,57.3,Weight Loss,Moderately Active,26.3,1600,2480,1905,758,1963,611,5747,58,7.0,2.6,107,Low,292
USR0140,41,Female,154.7,75.6,78.6,67.3,Weight Loss,Moderately Active,32.8,1387,2150,1773,600,1474,743,7196,56,6.9,2.0,127,Medium,231
USR0141,63,Female,156.3,73.2,74.9,80.6,Weight Gain,Lightly Active,30.7,1250,1719,2158,-261,1989,593,12448,30,5.8,2.4,120,High,100
USR0142,36,Male,171.3,93.0,91.7,91.7,Maintenance,Moderately Active,31.3,1813,2810,2810,213,2897,710,7132,51,7.0,1.8,126,Low,0
USR0143,21,Male,159.9,67.1,65.8,47.2,Weight Loss,Lightly Active,25.7,1557,2141,1652,627,1689,461,8040,28,8.6,3.2,114,Low,293
USR0144,43,Male,169.2,52.6,53.6,30.9,Weight Loss,Sedentary,18.7,1384,1661,1324,500,1424,545,15881,12,7.2,2.9,69,Low,519
USR0145,55,Male,185.0,79.1,81.5,71.8,Weight Loss,Sedentary,23.8,1701,2041,1594,656,1711,698,16209,17,5.2,2.8,102,Medium,167
USR0146,59,Male,168.4,94.8,95.3,101.1,Weight Gain,Very Active,33.6,1716,2960,3332,-3,3368,1231,14119,57,5.5,2.7,144,Medium,120
USR0147,49,Female,167.8,83.8,84.0,64.9,Weight Loss,Lightly Active,29.8,1483,2039,1565,723,1628,830,17907,30,7.7,2.5,128,Low,310
USR0148,56,Female,162.3,62.2,60.2,51.7,Weight Loss,Sedentary,22.9,1175,1410,1068,404,983,205,6120,0,6.7,1.5,88,Medium,191
USR0149,62,Male,189.2,83.4,84.7,70.4,Weight Loss,Moderately Active,23.7,1724,2672,2324,606,2341,859,10737,57,6.9,2.6,119,Low,316
USR0150,63,Male,189.7,88.1,89.3,96.4,Weight Gain,Lightly Active,24.8,1769,2432,2765,-205,2812,427,7259,17,6.3,2.3,131,Medium,164
USR0151,53,Female,157.6,34.5,37.3,29.5,Weight Loss,Moderately Active,15.0,932,1445,902,720,1158,591,10466,30,7.6,3.0,50,Medium,111
USR0152,57,Male,190.9,78.3,77.1,58.5,Weight Loss,Very Active,21.2,1684,2905,2333,903,2209,1103,13633,56,6.6,2.7,117,Medium,250
USR0153,54,Male,177.8,88.8,90.3,90.3,Maintenance,Moderately Active,28.6,1749,2711,2711,292,2820,974,17209,35,6.8,2.5,174,Low,0
USR0154,50,Male,181.1,57.7,57.3,50.0,Weight Loss,Lightly Active,17.5,1460,2008,1416,764,1399,572,12461,22,6.0,1.2,79,Medium,95
USR0155,53,Female,170.7,77.8,78.2,68.6,Weight Loss,Lightly Active,26.8,1423,1957,1535,620,1647,659,13300,31,8.1,2.1,137,Medium,175
USR0156,20,Male,176.4,63.7,65.6,65.6,Maintenance,Moderately Active,21.1,1664,2579,2579,150,2561,500,4922,56,6.7,1.9,86,Medium,0
USR0157,26,Female,160.1,68.3,66.6,52.9,Weight Loss,Lightly Active,26.0,1376,1892,1584,499,1761,636,15440,20,7.7,2.4,99,Medium,342
USR0158,25,Female,165.2,64.8,63.9,70.4,Weight Gain,Sedentary,23.4,1386,1663,2128,-418,2017,155,5387,2,5.6,2.0,93,Medium,108
USR0159,50,Male,171.2,84.6,86.2,72.5,Weight Loss,Lightly Active,29.4,1687,2320,1825,679,1846,613,7442,36,9.1,2.0,168,Low,213
USR0160,23,Female,179.5,59.2,59.6,59.6,Maintenance,Sedentary,18.5,1442,1730,1730,93,1796,309,7552,14,8.5,2.5,92,Low,0
USR0161,58,Male,177.4,92.4,90.0,71.3,Weight Loss,Very Active,28.6,1724,2974,2594,790,2492,1367,16553,71,4.7,1.9,158,Low,379
USR0162,56,Female,162.6,48.5,48.1,48.1,Maintenance,Moderately Active,18.2,1056,1637,1637,208,1683,694,12062,50,6.0,2.3,81,Medium,0
USR0163,21,Female,164.2,54.1,54.6,36.1,Weight Loss,Sedentary,20.3,1306,1567,1068,547,1219,161,6013,0,7.6,1.3,72,Medium,285
USR0164,30,Female,164.8,57.5,60.0,36.4,Weight Loss,Lightly Active,22.1,1319,1814,1349,586,1339,402,7367,23,5.4,1.7,117,Medium,391
USR0165,19,Male,169.3,90.8,88.9,88.9,Maintenance,Very Active,31.0,1857,3203,3203,361,3316,1204,10302,67,6.8,2.6,131,Medium,0
USR0166,22,Female,160.3,63.4,65.2,65.2,Maintenance,Lightly Active,25.4,1383,1902,1902,146,1801,488,8959,26,7.5,1.5,81,High,0
USR0167,61,Male,181.8,95.0,92.8,76.4,Weight Loss,Moderately Active,28.1,1764,2734,2382,587,2218,782,11947,33,6.8,2.9,134,Medium,359
USR0168,44,Male,189.2,94.7,93.2,93.2,Maintenance,Lightly Active,26.0,1900,2612,2612,242,2716,805,14995,32,7.6,2.8,137,Low,0
USR0169,49,Male,192.0,78.9,77.4,59.4,Weight Loss,Very Active,21.0,1734,2991,2405,859,2321,909,8290,63,6.2,2.0,99,High,237
USR0170,38,Female,167.0,74.6,76.9,83.5,Weight Gain,Moderately Active,27.6,1462,2266,2665,-183,2413,719,11559,34,4.3,4.0,130,Low,127
